database,description
geneontology_Biological_Process_noRedundant,humoral immune response
geneontology_Biological_Process_noRedundant,B cell activation
geneontology_Biological_Process_noRedundant,bone development
geneontology_Biological_Process_noRedundant,somatic diversification of immune receptors
geneontology_Biological_Process_noRedundant,vacuolar transport
geneontology_Biological_Process_noRedundant,mesenchymal to epithelial transition
geneontology_Biological_Process_noRedundant,interleukin-10 production
geneontology_Biological_Process_noRedundant,autonomic nervous system development
geneontology_Biological_Process_noRedundant,skin development
geneontology_Biological_Process_noRedundant,response to peptide
geneontology_Biological_Process_noRedundant,columnar/cuboidal epithelial cell differentiation
geneontology_Biological_Process_noRedundant,phospholipid metabolic process
geneontology_Biological_Process_noRedundant,connective tissue development
geneontology_Biological_Process_noRedundant,nerve development
geneontology_Biological_Process_noRedundant,organic hydroxy compound metabolic process
geneontology_Biological_Process_noRedundant,muscle cell migration
geneontology_Biological_Process_noRedundant,neural tube development
geneontology_Biological_Process_noRedundant,cranial skeletal system development
geneontology_Biological_Process_noRedundant,cellular modified amino acid metabolic process
geneontology_Biological_Process_noRedundant,molting cycle
geneontology_Biological_Process_noRedundant,one-carbon metabolic process
geneontology_Biological_Process_noRedundant,leukocyte apoptotic process
geneontology_Biological_Process_noRedundant,response to nerve growth factor
geneontology_Biological_Process_noRedundant,coenzyme metabolic process
geneontology_Biological_Process_noRedundant,artery development
geneontology_Biological_Process_noRedundant,covalent chromatin modification
geneontology_Biological_Process_noRedundant,mitochondrial membrane organization
geneontology_Biological_Process_noRedundant,reproductive system development
geneontology_Biological_Process_noRedundant,regulation of synapse structure or activity
geneontology_Biological_Process_noRedundant,transmembrane receptor protein serine/threonine kinase signaling pathway
geneontology_Biological_Process_noRedundant,regulation of developmental growth
geneontology_Biological_Process_noRedundant,negative chemotaxis
geneontology_Biological_Process_noRedundant,regulation of cofactor metabolic process
geneontology_Biological_Process_noRedundant,negative regulation of cell projection organization
geneontology_Biological_Process_noRedundant,post-embryonic development
geneontology_Biological_Process_noRedundant,ammonium transport
geneontology_Cellular_Component_noRedundant,extracellular matrix
geneontology_Cellular_Component_noRedundant,mitochondrial matrix
geneontology_Cellular_Component_noRedundant,collagen trimer
geneontology_Cellular_Component_noRedundant,endoplasmic reticulum lumen
geneontology_Cellular_Component_noRedundant,mitochondrial protein complex
geneontology_Cellular_Component_noRedundant,Schaffer collateral - CA1 synapse
geneontology_Cellular_Component_noRedundant,postsynaptic specialization
geneontology_Cellular_Component_noRedundant,COP9 signalosome
geneontology_Cellular_Component_noRedundant,early endosome
geneontology_Cellular_Component_noRedundant,clathrin-coated pit
geneontology_Cellular_Component_noRedundant,membrane region
geneontology_Cellular_Component_noRedundant,motile cilium
geneontology_Cellular_Component_noRedundant,neuron projection terminus
geneontology_Cellular_Component_noRedundant,cell projection membrane
geneontology_Cellular_Component_noRedundant,intrinsic component of endoplasmic reticulum membrane
geneontology_Cellular_Component_noRedundant,axon part
geneontology_Cellular_Component_noRedundant,coated vesicle
geneontology_Cellular_Component_noRedundant,endoplasmic reticulum exit site
geneontology_Cellular_Component_noRedundant,ribosome
geneontology_Cellular_Component_noRedundant,histone deacetylase complex
geneontology_Cellular_Component_noRedundant,nuclear envelope
geneontology_Cellular_Component_noRedundant,vacuolar lumen
geneontology_Cellular_Component_noRedundant,transporter complex
geneontology_Cellular_Component_noRedundant,actin-based cell projection
geneontology_Cellular_Component_noRedundant,PML body
geneontology_Cellular_Component_noRedundant,cluster of actin-based cell projections
geneontology_Cellular_Component_noRedundant,transport vesicle
geneontology_Cellular_Component_noRedundant,cytosolic part
geneontology_Cellular_Component_noRedundant,retromer complex
geneontology_Cellular_Component_noRedundant,microtubule
geneontology_Cellular_Component_noRedundant,integrator complex
geneontology_Cellular_Component_noRedundant,intercellular bridge
geneontology_Cellular_Component_noRedundant,sarcolemma
geneontology_Cellular_Component_noRedundant,neuromuscular junction
geneontology_Cellular_Component_noRedundant,nuclear speck
geneontology_Cellular_Component_noRedundant,trans-Golgi network
geneontology_Cellular_Component_noRedundant,intermediate filament cytoskeleton
geneontology_Cellular_Component_noRedundant,spindle
geneontology_Cellular_Component_noRedundant,ciliary part
geneontology_Cellular_Component_noRedundant,platelet alpha granule
geneontology_Cellular_Component_noRedundant,smooth endoplasmic reticulum
geneontology_Cellular_Component_noRedundant,PcG protein complex
geneontology_Cellular_Component_noRedundant,endonuclease complex
geneontology_Cellular_Component_noRedundant,organelle envelope lumen
geneontology_Cellular_Component_noRedundant,anchored component of membrane
geneontology_Cellular_Component_noRedundant,telomerase holoenzyme complex
geneontology_Cellular_Component_noRedundant,heterochromatin
geneontology_Cellular_Component_noRedundant,tethering complex
geneontology_Cellular_Component_noRedundant,lateral plasma membrane
geneontology_Cellular_Component_noRedundant,microtubule associated complex
geneontology_Cellular_Component_noRedundant,Golgi lumen
geneontology_Cellular_Component_noRedundant,intraciliary transport particle
geneontology_Cellular_Component_noRedundant,transcription elongation factor complex
geneontology_Cellular_Component_noRedundant,synaptic membrane
geneontology_Cellular_Component_noRedundant,sarcoplasm
geneontology_Cellular_Component_noRedundant,phagocytic cup
geneontology_Cellular_Component_noRedundant,basal part of cell
geneontology_Cellular_Component_noRedundant,"transferase complex, transferring phosphorus-containing groups"
geneontology_Cellular_Component_noRedundant,preribosome
geneontology_Cellular_Component_noRedundant,transcription factor complex
geneontology_Cellular_Component_noRedundant,dendritic shaft
geneontology_Cellular_Component_noRedundant,transcriptional repressor complex
geneontology_Cellular_Component_noRedundant,Golgi-associated vesicle
geneontology_Cellular_Component_noRedundant,DNA packaging complex
geneontology_Cellular_Component_noRedundant,midbody
geneontology_Cellular_Component_noRedundant,respiratory chain
geneontology_Cellular_Component_noRedundant,oxidoreductase complex
geneontology_Cellular_Component_noRedundant,mitochondrial inner membrane
geneontology_Cellular_Component_noRedundant,NADH dehydrogenase complex
geneontology_Cellular_Component_noRedundant,microbody
geneontology_Cellular_Component_noRedundant,autophagosome
geneontology_Cellular_Component_noRedundant,dense core granule
geneontology_Cellular_Component_noRedundant,mitochondrial membrane part
geneontology_Cellular_Component_noRedundant,myelin sheath
geneontology_Cellular_Component_noRedundant,late endosome
geneontology_Cellular_Component_noRedundant,outer membrane
geneontology_Cellular_Component_noRedundant,cytochrome complex
geneontology_Cellular_Component_noRedundant,primary lysosome
geneontology_Cellular_Component_noRedundant,lipid droplet
geneontology_Cellular_Component_noRedundant,actin cytoskeleton
geneontology_Cellular_Component_noRedundant,contractile fiber
geneontology_Cellular_Component_noRedundant,vacuolar membrane
geneontology_Cellular_Component_noRedundant,peptidase complex
geneontology_Cellular_Component_noRedundant,glutamatergic synapse
geneontology_Cellular_Component_noRedundant,specific granule
geneontology_Cellular_Component_noRedundant,glial cell projection
geneontology_Cellular_Component_noRedundant,intrinsic component of organelle membrane
geneontology_Cellular_Component_noRedundant,MHC protein complex
geneontology_Cellular_Component_noRedundant,SNARE complex
geneontology_Cellular_Component_noRedundant,side of membrane
geneontology_Cellular_Component_noRedundant,ficolin-1-rich granule
geneontology_Cellular_Component_noRedundant,secretory granule membrane
geneontology_Cellular_Component_noRedundant,immunological synapse
geneontology_Cellular_Component_noRedundant,sex chromosome
geneontology_Cellular_Component_noRedundant,phagophore assembly site
geneontology_Cellular_Component_noRedundant,apical part of cell
geneontology_Cellular_Component_noRedundant,tertiary granule
geneontology_Cellular_Component_noRedundant,endosome lumen
geneontology_Cellular_Component_noRedundant,cell-cell junction
geneontology_Cellular_Component_noRedundant,basolateral plasma membrane
geneontology_Cellular_Component_noRedundant,chaperone complex
geneontology_Cellular_Component_noRedundant,cytoplasmic region
geneontology_Cellular_Component_noRedundant,nucleoid
geneontology_Cellular_Component_noRedundant,neuron spine
geneontology_Cellular_Component_noRedundant,endocytic vesicle
geneontology_Cellular_Component_noRedundant,neuron to neuron synapse
geneontology_Cellular_Component_noRedundant,cell leading edge
geneontology_Cellular_Component_noRedundant,protein complex involved in cell adhesion
geneontology_Cellular_Component_noRedundant,cell-substrate junction
geneontology_Cellular_Component_noRedundant,blood microparticle
geneontology_Cellular_Component_noRedundant,GABA-ergic synapse
geneontology_Cellular_Component_noRedundant,extrinsic component of membrane
geneontology_Cellular_Component_noRedundant,site of DNA damage
geneontology_Cellular_Component_noRedundant,Golgi stack
geneontology_Cellular_Component_noRedundant,excitatory synapse
geneontology_Cellular_Component_noRedundant,acetyltransferase complex
geneontology_Cellular_Component_noRedundant,receptor complex
geneontology_Cellular_Component_noRedundant,cornified envelope
geneontology_Cellular_Component_noRedundant,recycling endosome
geneontology_Cellular_Component_noRedundant,inclusion body
geneontology_Cellular_Component_noRedundant,neuronal cell body
geneontology_Cellular_Component_noRedundant,site of polarized growth
geneontology_Cellular_Component_noRedundant,endosome membrane
geneontology_Cellular_Component_noRedundant,vesicle lumen
geneontology_Cellular_Component_noRedundant,ATPase complex
geneontology_Cellular_Component_noRedundant,presynapse
geneontology_Cellular_Component_noRedundant,endoplasmic reticulum quality control compartment
geneontology_Cellular_Component_noRedundant,coated membrane
geneontology_Cellular_Component_noRedundant,rough endoplasmic reticulum
geneontology_Cellular_Component_noRedundant,cell body membrane
geneontology_Cellular_Component_noRedundant,pigment granule
geneontology_Cellular_Component_noRedundant,nuclear chromatin
geneontology_Cellular_Component_noRedundant,methyltransferase complex
geneontology_Cellular_Component_noRedundant,other organism
geneontology_Cellular_Component_noRedundant,endoplasmic reticulum-Golgi intermediate compartment
geneontology_Cellular_Component_noRedundant,ubiquitin ligase complex
geneontology_Cellular_Component_noRedundant,replication fork
geneontology_Cellular_Component_noRedundant,GTPase complex
geneontology_Cellular_Component_noRedundant,Sm-like protein family complex
geneontology_Cellular_Component_noRedundant,germ cell nucleus
geneontology_Cellular_Component_noRedundant,cell division site
geneontology_Cellular_Component_noRedundant,ESCRT complex
geneontology_Cellular_Component_noRedundant,condensed chromosome
geneontology_Cellular_Component_noRedundant,mast cell granule
geneontology_Cellular_Component_noRedundant,phosphatase complex
geneontology_Cellular_Component_noRedundant,proton-transporting two-sector ATPase complex
geneontology_Cellular_Component_noRedundant,protein-DNA complex
geneontology_Cellular_Component_noRedundant,chromosomal region
geneontology_Cellular_Component_noRedundant,small nucleolar ribonucleoprotein complex
geneontology_Cellular_Component_noRedundant,mediator complex
geneontology_Cellular_Component_noRedundant,exoribonuclease complex
geneontology_Molecular_Function_noRedundant,"oxidoreductase activity, acting on the CH-CH group of donors"
geneontology_Molecular_Function_noRedundant,extracellular matrix structural constituent
geneontology_Molecular_Function_noRedundant,antigen binding
geneontology_Molecular_Function_noRedundant,"oxidoreductase activity, acting on NAD(P)H"
geneontology_Molecular_Function_noRedundant,receptor ligand activity
geneontology_Molecular_Function_noRedundant,"oxidoreductase activity, acting on CH-OH group of donors"
geneontology_Molecular_Function_noRedundant,MHC protein binding
geneontology_Molecular_Function_noRedundant,"transferase activity, transferring acyl groups"
geneontology_Molecular_Function_noRedundant,serine hydrolase activity
geneontology_Molecular_Function_noRedundant,fibronectin binding
geneontology_Molecular_Function_noRedundant,cofactor binding
geneontology_Molecular_Function_noRedundant,electron transfer activity
geneontology_Molecular_Function_noRedundant,cytokine receptor binding
geneontology_Molecular_Function_noRedundant,lyase activity
geneontology_Molecular_Function_noRedundant,glycosaminoglycan binding
geneontology_Molecular_Function_noRedundant,hormone binding
geneontology_Molecular_Function_noRedundant,phosphatidylinositol kinase activity
geneontology_Molecular_Function_noRedundant,fatty acid derivative binding
geneontology_Molecular_Function_noRedundant,actin binding
geneontology_Molecular_Function_noRedundant,coreceptor activity
geneontology_Molecular_Function_noRedundant,neurotransmitter transporter activity
geneontology_Molecular_Function_noRedundant,"oxidoreductase activity, acting on a heme group of donors"
geneontology_Molecular_Function_noRedundant,thiolester hydrolase activity
geneontology_Molecular_Function_noRedundant,"transferase activity, transferring alkyl or aryl (other than methyl) groups"
geneontology_Molecular_Function_noRedundant,heme-copper terminal oxidase activity
geneontology_Molecular_Function_noRedundant,ligase activity
geneontology_Molecular_Function_noRedundant,Rho GTPase binding
geneontology_Molecular_Function_noRedundant,deaminase activity
geneontology_Molecular_Function_noRedundant,14-3-3 protein binding
geneontology_Molecular_Function_noRedundant,tau-protein kinase activity
geneontology_Molecular_Function_noRedundant,isomerase activity
geneontology_Molecular_Function_noRedundant,carboxylic ester hydrolase activity
geneontology_Molecular_Function_noRedundant,bHLH transcription factor binding
geneontology_Molecular_Function_noRedundant,PDZ domain binding
geneontology_Molecular_Function_noRedundant,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds"
geneontology_Molecular_Function_noRedundant,SNAP receptor activity
geneontology_Molecular_Function_noRedundant,ADP binding
geneontology_Molecular_Function_noRedundant,protein transporter activity
geneontology_Molecular_Function_noRedundant,phosphatidylinositol 3-kinase binding
geneontology_Molecular_Function_noRedundant,active transmembrane transporter activity
geneontology_Molecular_Function_noRedundant,cyclin-dependent protein kinase activity
geneontology_Molecular_Function_noRedundant,ammonium ion binding
geneontology_Molecular_Function_noRedundant,monooxygenase activity
geneontology_Molecular_Function_noRedundant,growth factor binding
geneontology_Molecular_Function_noRedundant,hormone receptor binding
geneontology_Molecular_Function_noRedundant,lipase activity
geneontology_Molecular_Function_noRedundant,GTP-dependent protein binding
geneontology_Molecular_Function_noRedundant,SMAD binding
geneontology_Molecular_Function_noRedundant,molecular adaptor activity
geneontology_Molecular_Function_noRedundant,organic acid binding
geneontology_Molecular_Function_noRedundant,rRNA binding
geneontology_Molecular_Function_noRedundant,tubulin binding
geneontology_Molecular_Function_noRedundant,glutamate receptor binding
geneontology_Molecular_Function_noRedundant,dynein light chain binding
geneontology_Molecular_Function_noRedundant,ribonucleoprotein complex binding
geneontology_Molecular_Function_noRedundant,protein heterodimerization activity
geneontology_Molecular_Function_noRedundant,disordered domain specific binding
geneontology_Molecular_Function_noRedundant,G protein-coupled amine receptor activity
geneontology_Molecular_Function_noRedundant,clathrin binding
geneontology_Molecular_Function_noRedundant,ubiquitinyl hydrolase activity
geneontology_Molecular_Function_noRedundant,nuclease activity
geneontology_Molecular_Function_noRedundant,protein tyrosine kinase binding
geneontology_Molecular_Function_noRedundant,proteoglycan binding
geneontology_Molecular_Function_noRedundant,glycolipid binding
geneontology_Molecular_Function_noRedundant,G-protein beta/gamma-subunit complex binding
geneontology_Molecular_Function_noRedundant,cell adhesion molecule binding
geneontology_Molecular_Function_noRedundant,phosphatidylinositol 3-kinase activity
geneontology_Molecular_Function_noRedundant,mitogen-activated protein kinase binding
geneontology_Molecular_Function_noRedundant,ubiquitin-like protein binding
geneontology_Molecular_Function_noRedundant,manganese ion binding
geneontology_Molecular_Function_noRedundant,monovalent inorganic cation transmembrane transporter activity
geneontology_Molecular_Function_noRedundant,structural constituent of cytoskeleton
geneontology_Molecular_Function_noRedundant,amide transmembrane transporter activity
geneontology_Molecular_Function_noRedundant,"translation factor activity, RNA binding"
geneontology_Molecular_Function_noRedundant,metallopeptidase activity
geneontology_Molecular_Function_noRedundant,myosin binding
geneontology_Molecular_Function_noRedundant,protease binding
geneontology_Molecular_Function_noRedundant,G protein-coupled receptor binding
geneontology_Molecular_Function_noRedundant,WW domain binding
geneontology_Molecular_Function_noRedundant,"DNA-binding transcription activator activity, RNA polymerase II-specific"
geneontology_Molecular_Function_noRedundant,aspartic-type peptidase activity
geneontology_Molecular_Function_noRedundant,carbohydrate transmembrane transporter activity
geneontology_Molecular_Function_noRedundant,cytokine binding
geneontology_Molecular_Function_noRedundant,calmodulin binding
geneontology_Molecular_Function_noRedundant,semaphorin receptor binding
geneontology_Molecular_Function_noRedundant,sulfur compound binding
geneontology_Molecular_Function_noRedundant,scaffold protein binding
geneontology_Molecular_Function_noRedundant,basal transcription machinery binding
geneontology_Molecular_Function_noRedundant,ubiquitin-like protein ligase binding
geneontology_Molecular_Function_noRedundant,isoprenoid binding
geneontology_Molecular_Function_noRedundant,promoter-specific chromatin binding
geneontology_Molecular_Function_noRedundant,single-stranded DNA binding
geneontology_Molecular_Function_noRedundant,nucleosome binding
geneontology_Molecular_Function_noRedundant,unfolded protein binding
geneontology_Molecular_Function_noRedundant,nucleotide receptor activity
geneontology_Molecular_Function_noRedundant,divalent inorganic cation transmembrane transporter activity
geneontology_Molecular_Function_noRedundant,growth factor receptor binding
geneontology_Molecular_Function_noRedundant,pattern recognition receptor activity
geneontology_Molecular_Function_noRedundant,SH2 domain binding
geneontology_Molecular_Function_noRedundant,actinin binding
geneontology_Molecular_Function_noRedundant,dioxygenase activity
geneontology_Molecular_Function_noRedundant,phosphatase binding
geneontology_Molecular_Function_noRedundant,structural constituent of nuclear pore
geneontology_Molecular_Function_noRedundant,pattern binding
geneontology_Molecular_Function_noRedundant,sphingolipid binding
geneontology_Molecular_Function_noRedundant,receptor inhibitor activity
geneontology_Molecular_Function_noRedundant,copper ion binding
geneontology_Molecular_Function_noRedundant,ephrin receptor binding
geneontology_Molecular_Function_noRedundant,magnesium ion binding
geneontology_Molecular_Function_noRedundant,Wnt-protein binding
geneontology_Molecular_Function_noRedundant,oxygen binding
geneontology_Molecular_Function_noRedundant,DNA secondary structure binding
geneontology_Molecular_Function_noRedundant,transcription coactivator activity
geneontology_Molecular_Function_noRedundant,demethylase activity
geneontology_Molecular_Function_noRedundant,protein N-terminus binding
geneontology_Molecular_Function_noRedundant,misfolded protein binding
geneontology_Molecular_Function_noRedundant,serotonin receptor activity
geneontology_Molecular_Function_noRedundant,"transferase activity, transferring glycosyl groups"
geneontology_Molecular_Function_noRedundant,core promoter binding
geneontology_Molecular_Function_noRedundant,E-box binding
geneontology_Molecular_Function_noRedundant,general transcription initiation factor activity
geneontology_Molecular_Function_noRedundant,ATPase activity
geneontology_Molecular_Function_noRedundant,"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen"
geneontology_Molecular_Function_noRedundant,double-stranded RNA binding
geneontology_Molecular_Function_noRedundant,AU-rich element binding
geneontology_Molecular_Function_noRedundant,transcription corepressor activity
geneontology_Molecular_Function_noRedundant,purinergic receptor activity
geneontology_Molecular_Function_noRedundant,snoRNA binding
geneontology_Molecular_Function_noRedundant,telomeric DNA binding
geneontology_Molecular_Function_noRedundant,neurotransmitter binding
geneontology_Molecular_Function_noRedundant,methyl-CpG binding
geneontology_Molecular_Function_noRedundant,Notch binding
geneontology_Molecular_Function_noRedundant,mRNA binding
geneontology_Molecular_Function_noRedundant,protein kinase A binding
geneontology_Molecular_Function_noRedundant,lipopolysaccharide binding
geneontology_Molecular_Function_noRedundant,"transferase activity, transferring nitrogenous groups"
geneontology_Molecular_Function_noRedundant,phosphoprotein binding
geneontology_Molecular_Function_noRedundant,"catalytic activity, acting on DNA"
geneontology_Molecular_Function_noRedundant,chromatin DNA binding
geneontology_Molecular_Function_noRedundant,receptor serine/threonine kinase binding
geneontology_Molecular_Function_noRedundant,lipoprotein particle receptor binding
geneontology_Molecular_Function_noRedundant,repressing transcription factor binding
geneontology_Molecular_Function_noRedundant,damaged DNA binding
geneontology_Molecular_Function_noRedundant,protein kinase C binding
geneontology_Molecular_Function_noRedundant,NF-kappaB binding
geneontology_Molecular_Function_noRedundant,phosphatase regulator activity
geneontology_Molecular_Function_noRedundant,ATPase binding
geneontology_Molecular_Function_noRedundant,catecholamine binding
geneontology_Molecular_Function_noRedundant,regulatory RNA binding
geneontology_Molecular_Function_noRedundant,tau protein binding
geneontology_Molecular_Function_noRedundant,cofactor transmembrane transporter activity
geneontology_Molecular_Function_noRedundant,protein serine/threonine kinase activity
geneontology_Molecular_Function_noRedundant,G-protein alpha-subunit binding
geneontology_Molecular_Function_noRedundant,drug transmembrane transporter activity
geneontology_Molecular_Function_noRedundant,"catalytic activity, acting on a glycoprotein"
geneontology_Molecular_Function_noRedundant,"oxidoreductase activity, acting on the CH-NH group of donors"
geneontology_Molecular_Function_noRedundant,ankyrin binding
geneontology_Molecular_Function_noRedundant,phospholipid binding
geneontology_Molecular_Function_noRedundant,Rab GTPase binding
geneontology_Molecular_Function_noRedundant,vitamin binding
geneontology_Molecular_Function_noRedundant,nucleoside-triphosphatase regulator activity
geneontology_Molecular_Function_noRedundant,threonine-type peptidase activity
geneontology_Molecular_Function_noRedundant,antioxidant activity
geneontology_Molecular_Function_noRedundant,deacetylase activity
geneontology_Molecular_Function_noRedundant,metal cluster binding
geneontology_Molecular_Function_noRedundant,organic cation transmembrane transporter activity
geneontology_Molecular_Function_noRedundant,quaternary ammonium group binding
geneontology_Molecular_Function_noRedundant,cyclase activity
geneontology_Molecular_Function_noRedundant,structural constituent of muscle
geneontology_Molecular_Function_noRedundant,steroid dehydrogenase activity
geneontology_Molecular_Function_noRedundant,tetrapyrrole binding
geneontology_Molecular_Function_noRedundant,insulin receptor binding
geneontology_Molecular_Function_noRedundant,ammonium transmembrane transporter activity
geneontology_Molecular_Function_noRedundant,collagen binding
geneontology_Molecular_Function_noRedundant,guanyl-nucleotide exchange factor activity
geneontology_Molecular_Function_noRedundant,"oxidoreductase activity, acting on peroxide as acceptor"
geneontology_Molecular_Function_noRedundant,carbohydrate derivative transmembrane transporter activity
geneontology_Molecular_Function_noRedundant,SNARE binding
geneontology_Molecular_Function_noRedundant,dynein intermediate chain binding
geneontology_Molecular_Function_noRedundant,transmembrane receptor protein kinase activity
geneontology_Molecular_Function_noRedundant,beta-catenin binding
geneontology_Molecular_Function_noRedundant,cyclic nucleotide binding
geneontology_Molecular_Function_noRedundant,steroid binding
geneontology_Molecular_Function_noRedundant,"transferase activity, transferring sulfur-containing groups"
geneontology_Molecular_Function_noRedundant,channel regulator activity
geneontology_Molecular_Function_noRedundant,modified amino acid binding
geneontology_Molecular_Function_noRedundant,"catalytic activity, acting on RNA"
geneontology_Molecular_Function_noRedundant,translation regulator activity
geneontology_Molecular_Function_noRedundant,protein-containing complex scaffold activity
geneontology_Molecular_Function_noRedundant,spectrin binding
geneontology_Molecular_Function_noRedundant,organophosphate ester transmembrane transporter activity
geneontology_Molecular_Function_noRedundant,"oxidoreductase activity, acting on the aldehyde or oxo group of donors"
geneontology_Molecular_Function_noRedundant,amide binding
geneontology_Molecular_Function_noRedundant,dynein light intermediate chain binding
geneontology_Molecular_Function_noRedundant,"transferase activity, transferring one-carbon groups"
geneontology_Molecular_Function_noRedundant,protein C-terminus binding
geneontology_Molecular_Function_noRedundant,ion channel binding
geneontology_Molecular_Function_noRedundant,exopeptidase activity
geneontology_Molecular_Function_noRedundant,protein self-association
geneontology_Molecular_Function_noRedundant,phosphoric ester hydrolase activity
geneontology_Molecular_Function_noRedundant,nucleobase-containing compound transmembrane transporter activity
geneontology_Molecular_Function_noRedundant,sulfur compound transmembrane transporter activity
geneontology_Molecular_Function_noRedundant,"oxidoreductase activity, acting on a sulfur group of donors"
geneontology_Molecular_Function_noRedundant,enhancer binding
geneontology_Molecular_Function_noRedundant,kinase regulator activity
geneontology_Molecular_Function_noRedundant,cyclin binding
geneontology_Molecular_Function_noRedundant,"DNA-binding transcription repressor activity, RNA polymerase II-specific"
geneontology_Molecular_Function_noRedundant,"hydrolase activity, acting on glycosyl bonds"
geneontology_Molecular_Function_noRedundant,RNA polymerase II transcription factor binding
geneontology_Molecular_Function_noRedundant,cysteine-type endopeptidase regulator activity involved in apoptotic process
geneontology_Molecular_Function_noRedundant,carbohydrate binding
geneontology_Molecular_Function_noRedundant,heat shock protein binding
geneontology_Molecular_Function_noRedundant,endopeptidase activity
geneontology_Molecular_Function_noRedundant,motor activity
geneontology_Molecular_Function_noRedundant,extracellular matrix binding
geneontology_Molecular_Function_noRedundant,activating transcription factor binding
geneontology_Molecular_Function_noRedundant,peptidase regulator activity
geneontology_Molecular_Function_noRedundant,cargo receptor activity
geneontology_Molecular_Function_noRedundant,dynein complex binding
geneontology_Molecular_Function_noRedundant,glutamate receptor activity
geneontology_Molecular_Function_noRedundant,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen"
geneontology_Molecular_Function_noRedundant,"oxidoreductase activity, acting on the CH-NH2 group of donors"
geneontology_Molecular_Function_noRedundant,peptide receptor activity
geneontology_Molecular_Function_noRedundant,cell adhesion mediator activity
geneontology_Molecular_Function_noRedundant,protein-lipid complex binding
geneontology_Molecular_Function_noRedundant,hijacked molecular function
geneontology_Molecular_Function_noRedundant,protein tyrosine kinase activity
geneontology_Molecular_Function_noRedundant,modification-dependent protein binding
geneontology_Molecular_Function_noRedundant,iron ion binding
geneontology_Molecular_Function_noRedundant,cytokine receptor activity
geneontology_Molecular_Function_noRedundant,lipid transporter activity
geneontology_Molecular_Function_noRedundant,enzyme inhibitor activity
geneontology_Molecular_Function_noRedundant,calcium-dependent protein binding
geneontology_Molecular_Function_noRedundant,metal ion transmembrane transporter activity
geneontology_Molecular_Function_noRedundant,chaperone binding
geneontology_Molecular_Function_noRedundant,carbohydrate kinase activity
geneontology_Molecular_Function_noRedundant,anion transmembrane transporter activity
geneontology_Molecular_Function_noRedundant,histone deacetylase binding
geneontology_Molecular_Function_noRedundant,ubiquitin-like protein transferase activity
geneontology_Molecular_Function_noRedundant,phosphatidylinositol bisphosphate kinase activity
geneontology_Molecular_Function_noRedundant,organic acid transmembrane transporter activity
geneontology_Molecular_Function_noRedundant,cysteine-type peptidase activity
geneontology_Molecular_Function_noRedundant,nucleoside binding
geneontology_Molecular_Function_noRedundant,p53 binding
geneontology_Molecular_Function_noRedundant,passive transmembrane transporter activity
geneontology_Molecular_Function_noRedundant,GTPase activity
geneontology_Molecular_Function_noRedundant,"phosphotransferase activity, phosphate group as acceptor"
geneontology_Molecular_Function_noRedundant,ubiquitin-like protein conjugating enzyme binding
geneontology_Molecular_Function_noRedundant,histone acetyltransferase binding
geneontology_Molecular_Function_noRedundant,protein serine/threonine/tyrosine kinase activity
geneontology_Molecular_Function_noRedundant,SH3 domain binding
geneontology_Molecular_Function_noRedundant,nucleotidyltransferase activity
geneontology_Molecular_Function_noRedundant,translation initiation factor binding
geneontology_Molecular_Function_noRedundant,GABA receptor activity
geneontology_Molecular_Function_noRedundant,guanyl nucleotide binding
geneontology_Molecular_Function_noRedundant,structural constituent of ribosome
geneontology_Molecular_Function_noRedundant,pre-mRNA binding
geneontology_Molecular_Function_noRedundant,alcohol binding
geneontology_Molecular_Function_noRedundant,odorant binding
geneontology_Molecular_Function_noRedundant,transcription cofactor binding
geneontology_Molecular_Function_noRedundant,immunoglobulin binding
geneontology_Molecular_Function_noRedundant,telomerase RNA binding
geneontology_Molecular_Function_noRedundant,organic hydroxy compound transmembrane transporter activity
geneontology_Molecular_Function_noRedundant,tRNA binding
geneontology_Molecular_Function_noRedundant,steroid hormone receptor activity
geneontology_Molecular_Function_noRedundant,molecular carrier activity
geneontology_Molecular_Function_noRedundant,kinesin binding
geneontology_Molecular_Function_noRedundant,"transcription factor activity, direct ligand regulated sequence-specific DNA binding"
geneontology_Molecular_Function_noRedundant,helicase activity
geneontology_Molecular_Function_noRedundant,neurotransmitter receptor activity
geneontology_Molecular_Function_noRedundant,protein binding involved in protein folding
geneontology_Molecular_Function_noRedundant,macromolecule transmembrane transporter activity
geneontology_Molecular_Function_noRedundant,histone binding
geneontology_Molecular_Function_noRedundant,nucleobase-containing compound kinase activity
geneontology_Molecular_Function_noRedundant,single-stranded RNA binding
geneontology_Molecular_Function_noRedundant,vitamin transmembrane transporter activity
geneontology_Molecular_Function_noRedundant,olfactory receptor activity
geneontology_Molecular_Function_noRedundant,RNA polymerase binding
geneontology_Molecular_Function_noRedundant,snRNA binding
geneontology_Molecular_Function_noRedundant,Ran GTPase binding
geneontology_Molecular_Function_noRedundant,TBP-class protein binding
geneontology_Molecular_Function_noRedundant,taste receptor activity
pathway_KEGG,NF-kappa B signaling pathway
pathway_KEGG,mTOR signaling pathway
pathway_KEGG,Cytokine-cytokine receptor interaction
pathway_KEGG,Phospholipase D signaling pathway
